onomatopoeia,onomatopoeia_english
かーんかかかかか,Clang clang clang clang
カァーン,Bong
しゃらしゃら,Rustle
ッカカッカッ,Clack clack clack
タカーン,Clang
シャラリン,Tinkle
シャーン,Ding
しゃりしゃりん,Crunch crunch
ふぅおーん,Whoosh
ゔおーん,Vroom
ばぁおーん,Bawooon
ぽにょんぽにょん,Squishy squishy
ぴよんぴよん,Boing boing
ビョンビヨン,Boing boing
びろびろ,Floppy
がさがさ,Rustle rustle
からから,Rattle rattle
がらがら,Clatter clatter
ザザザどん,Crash rumble
かさかさ,Rustle
かしゃかしゃ,Crinkle crinkle
バサバサ,Flap flap
はらりどすん,Flutter thud
がさっがさ,Rustle rustle
ざくっぱたぱた,Chop flap flap
ざりっばさん,Crunch snap
めきめきドン,Crack boom
がしゃりんがしゃりん,Clang clang
ぱーん,pop
ばーん,bang
でぇーん,thud
わーぱちぱち,crackle clap
ぴゅーわーぱちぱち,whoosh crackle clap
うわぁーぱちぱちぴゅー,wow crackle clap whoosh
うわぁーおーぱちぱちふゅーふゅー,wow oh crackle clap whoosh whoosh
ぱちぱち,crackle
ばちばち,zap crackle
ばさぱち,flap crackle
ぱりぱちぱりぱち,crackle snap crackle snap
ばりばり,crunch
うわぁーぱちぱち,wow crackle
ワー,wow
パチパチ,clap clap
ぱんぱん,pat pat
ぱちパチ,clap clap
バチぱち,zap crackle
ざざざざ,rustle rustle rustle rustle
ゔぁゔぁ,groan groan
ぐわっしゃん,Crash
ざーシャンざーシャン,Splash splash
プーップーッ,Tooot
プーップーッパーン,Tooot bang
チッチッ,Tsk tsk
チッチッリリリリ,Tsk tsk ring ring
ピッピッ,Beep beep
ビョンビヨンピー,Boing boing beep
ピジョンピジョンピー,Pigeon cooing
カチカチ,Click clack
ティッティッ,Tickt tickt
ジッジッ,Snap snap
ピッピッピピピピ,Beep beep beep beep
ピョンピョンポーン,Hop hop bong
ピンピンポーン,Ding dong
ピィンピィンポーン,Ping ping dong
カッティンカッティン,Clack clack
パッコンパッコンチーン,Clack clack ding
チッチッピッ,Tsk tsk beep
チチチチ,Tsk tsk tsk tsk
ちちちピッ,Chirp-chirp beep
ずぁばあん,Splash crash
すばぁん,Bang
ばぁぁん,Boom
シュヴァン,Whoosh
ヴァンッ,Wham
ドバーン,Boom crash
きーん,Ringing
ごとんごとん,Clatter clatter
ごろんごろん,Roll over
グワングアン,Roar roar
ゴワンゴワン,Thud thud
ブォーンブォーン,Vroom vroom
ざぁざぁ,Pouring rain
ブオンざーブオンざー,Vroom splash vroom splash
グワらら,Roar roar
ザバッ,Splash
ガラガラ,Rattle
グイーン,Whirr
がたんごとんざばざば,Clatter clatter splash splash
ゔわーぱちっ,Vwah-pat (explosive zap)
ばたんばたん,Bang bang (door slamming)
ばしゃんばしゃん,Splash splash
ぐわんぐわん,Roar roar (heavy rumbling)
ぱしゃぱしゃ,Splash splash (light splashing)
ざーざー,Pouring rain
じゃらんじゃらん,Jingle jangle
じゃぱーんじゃぱーん,Splash splash (waves)
じゃばじゃば,Wash wash (water flowing)
ずばーん,Whoosh bang
きゅいーん,Squeeeeel
ざばざば,Gush gush (water flow)
きゅぃーん,Squeeeeel
グワタグワタ,Squish squish
ピロピロ,Whistle whistle
ぼーんぼーん,Boom boom
でぃーん,Ding
じーんじーん,Buzz buzz
でいんでいん,Ding ding
じーん,Buzz
ぼーん,Boom
ジーン,Tingling
ボーンボーン,Bong bong
コーンコーン,Honk honk
ぐぉーん,Roar
たったっ,Tap tap
てぃってぃっ,Tip tap
ぎりぎり,Grinding
ちーん,Ding
チャーン,Clang
しーんしーん,Silence
ちーんちーん,Ding ding
ぐわーん,Wham
ぎぃーん,Squeal
ゴーン,Gong
ころころ,Roll roll
たーん,Turn
きぃぁーん,Scream
ころころチーン,Roll roll ding
からからティーン,Rattle ring
ころころちぃーん,Rolling ding
ころころディーン,Rolling dean
キィん,High-pitched squeak
ぎぃぃぃーん,Screeching grind
ジィーん,Buzzing hum
ジィーン,Emotional buzz
ティーン,Ding
ジーンジーン,Ringing buzz
がっがっ,Chomp chomp
がりがり・チーン,Scrape ding
がりがり・チーンチーン,Scrape ding ding
ティーンティーン,Ding ding
チーンチーン,Ding ding
グワーン,Roaring boom
ごーん,Gong
カラカラぼーんぼーん,Clatter boom boom
ギャーンギャーン,Wailing cry
キャーンキャーン,Yelping cry
ぎゅるぎゅる,Gurgling rumble
カタンカタン,Clack clack
シャラリーン,Jingle
きらりらりん,Sparkle
らーらそ,Musical notes (la-la-so)
らーらそみ,Musical notes (la-la-so-mi)
レレレシラーソラーシ,Musical notes (re-re-re-shi-la-so-la-shi)
ラーラーソラーラソミ,Musical notes (la-la-so-la-la-so-mi)
ピッポーピッポー,"Siren sound (""wee-woo"")"
ポポッポポッ,Pigeon cooing
ポポーンポポーン,"Deep horn sound (""toot-toot"")"
チチッチチッ,Beeping sound
ピョピョ,Chirping
ぎゃりぎゃり,Scraping/grating
ぎょりぎょり,Scraping/grinding
しゃりしゃり,Crunchy (snow or apple)
ざりざり,Rough scraping
ざらっざらっ,Rough scraping (repeated)
ざっざっ,Quick scraping steps
がりっがりっ,Crunching/grinding
きしっきしっ,Creaking
きしきし,Creaking (continuous)
がざっがざっ,Rustling
ぐりゅぐりゅ,Gurgling
ぐぐぐ,Straining sound
くぁらくぁら,Croaking
ぴーんーぽーん,Ding-dong
ぴきょ,Chirp
ピキョピキョ,Chirping
ききょっききょっ,Bird call
ひっきょっひっきょっ,Bird call
ひっぴょっひっぴょっ,Bird call
ぴっぴょっぴっぴょっ,Bird call
ぴっぽっぴっぽっ,Bird call
ぴっぷぉっぴっぷぉっ,Bird call
ぴっぼぴっぼ,Bird call
ぴっぽぴっぽ,Bird call
かしゃーんー,Crash
きぃぃぃーん,High-pitched ringing
ぼょーんぼょーん,Boing-boing
びょーんびょーん,Boing-boing
でりんでりん,Jingle-jangle
でりりりん,ringing
ざからんざからん,clinking
ぱらんぱらん,tinkling
パラリラパラリラ,rattling
ちろりろりん,soft chime
ちろちろ,flickering light
ちろちろちろりん,gentle chime
てろてろりん,fluttering sound
ちろちろりん,faint chime
じりんじりん,sizzling
ぎろぎろん,glaring
でぃろんでぃろん,sliding sound
てぃろてぃろん,twirling sound
ちろちろちろん,soft flicker
がたがた,rattling
たらてぃらたらてぃら,rhythmic tapping
てぃららてぃらら,trilling
ちろりんちろりん,light chime
じりじりん,sizzling
がりゃがりゃ,clattering
ざりゃざりゃ,Scraping
ぴよぴよ,Chirp chirp
ぴーよぴーよ,Peep peep
ぽよぽよ,Soft plop
かちゃかちゃかかちゃ,Clatter clatter clack
しゅいーん,Whoosh
ピン,Ping
リン,Ring
かちゃかちゃ,Clatter clatter
ジャリジャリ,Crunchy gravel
シュンシュン,Whizzing
ミョーン,Sproing
カーン,Clang
ビュオーン,Vroom
ドンドン,Knock knock
ドンドンドンドン,Drum roll
ドン,Thud
カンカン,Clang clang
ピコピコピコ,Beep beep beep
トコトコトコトコ,Pitter patter
キリキリキリ,Squeaking
ドーン,Boom
シュドーン,Whoosh-boom
ボワボワ,Fluffy rustle
ボーーーー,Booooooom
シュボーー,Sputter
シュパカ,Snap
ウィーウィ,Whirring
ブウィー,Vroom
ブウィーン,Vroooom
ブウィーーーン,Vrooooom
シーーーンン,Silence
ウィンーー,Whirrr
ジンーー,Buzz
ウィーーーーン,Whirrrrr
ジンジンン,Tingling
ジーーーーンン,Emotional hum
シーーーーーン,Dead silence
シーーーシシ,Shhh-shsh
シュウウィーー,Whoosh-whirr
シュイイイイー,Whoooosh
シンシンシンシン,Drip drip drip
シーーン,Silence
シュウーーシュ,Hiss hiss
ピピピピピピ,Beep beep beep
ピピピポピピピポ,Beep-boop beep-boop
チチトチチト,Tick-tock tick-tock
ピピポピピポ,Beep-boop beep-boop
ピピピポ,Beep beep boop
ピピピピポ,Beep beep beep boop
キーーーーー,Screech
ギーーーーー,Squeal
キンコンカンコン,Ding-dong ding-dong
キーンコーンカーンコーン,Bell tolling
ギーンコーンカーンコーン,Metallic ringing
ギーンゴーンガーンゴーン,Loud clanging
どどんどどんどどんどどん,Boom boom boom
どくっどくっどくっどくっどくっどくっどくっどくっ,Throb throb throb
どっくっどっくっどっくっどっくっどっくっどっくっどっくっどっくっ,Thump thump thump
どっどんどっどんどっどんどっどんどっどんどっどんどっどんどっどん,Drum roll
どっくんどっくんどっくんどっくんどっくんどっくんどっくんどっくん,Thump thump thump
どっくどっくどっくどっくどっくどっくどっくどっく,Throb throb
とっくとっくとっくとっくとっくとっくとっくとっく,Tick tick
とくっとくっとくっとくっとくっとくっとくっとくっ,Click click
とっくんとっくんとっくんとっくんとっくんとっくんとっくんとっくん,Thump thump
どっとんどっとんどっとんどっとんどっとんどっとんどっとんどっとん,Thud thud
どくんどくん...,Thump thump...
どくどく...,Drip drip...
ととんととんととんととんととんととんととんととん,Tap tap tap
どとんどとんどとんどとんどとんどとんどとんどとん,Thud thud
どくどくどくどくどくどくどくどくどくどくどくどくどくどくどくどく,Drip drip drip
どっとどっとどっとどっとどっとどっとどっとどっと,Plop plop
どとどとどとどとどとどとどとどと,Drip drip drip
かーんかーんかーんかーんかーんかーんかーんかーんかーんかーん,Ding ding ding
きーんきーんきーんきーんきーん...,Ring ring ring
うーんうーん,Hmm hmm
うぃーんうぃーん...,Whir whir...
ぷいぷい...,Pout pout...
うーんうーん...,Hmm hmm...
ぶーんぶーん...,Buzz buzz...
うぃーんうぃーんうぃーんうぃーんうぃーんうぃーんうぃーんうぃーん,whirring
ぶーんぶーんぶーんぶーんぶーんぶーんぶーんぶーん,buzzing
ぷーんぷーん...,faint buzzing
ぶおーんぶおーんぶおーんぶおーん,roaring engine
ぷおーんぷおーん...,low roar
ぶいーんぶいーんぶいーんぶいーん,motor running
ぐいーんぐいーんぐいーんぐいーん,grinding
ぷいぷいぷいぷいぷい,squeaking
ぶーぶー...,honking
しゅしゅ...,hissing
しゅっしゅっ...,puffing
きゅいーんきゅいーん...,high-pitched whine
きーんきーん...,ringing
きいーきいー...,squealing
ぴーん,ping
うぃーん...,whirring (soft)
ぴーん...,ping (soft)
ぎーん...,screech
ちんか,clink
かっかっ...,tapping
ちんかかかちんかかかちんかかかちんかかかちん,Clinking sound
ぎーぎーぎーぎーぎー,Squeak squeak
かうぃーん...,Whirr...
からから...,Rattle...
かちかちかちかちかちかちかちかちかちかちかちかちかちかちかちかちかちかち,Click click click
かかかっかかっか...,Tapping sound...
ちっちっちっちっちっちっちっちっちっちっちっちっちっちっちっちっちっちっ,Tick tick tick
ちんかかか...,Clink clink...
とるるるるる,Ring ring ring
かちかち...,Click click...
ちんかちんかちんかちんか,Ding ding ding
びーん...,Buzz...
ちーんちーん...,Ding ding...
かーん,Clang
こーん,Bong
さささ...,Rustle rustle...
さー...,Hiss...
ざーざー...,Pouring rain
ぽんぽん...,Pop pop...
ずどーん,Boom!
ずきゅーん,Thud-thud (heart pounding)
ずーんずーん...,Boom boom... (heavy footsteps)
しゅーん,Whoosh (deflation or fading sound)
ずしーん,Thud (heavy impact)
ずぱーん,Slash! (sharp cutting sound)
ずーん,Boom (deep thud)
ひゅーん,Zoom (fast movement)
ひゅーんしゃー,Zoom-sha (fast whooshing with mechanical tone)
ずひゅーん,Zoom-thud (fast impact)
ぴゅーん,Zoom (swift flying sound)
じじじじ...,Buzz buzz... (electric buzzing)
じじじふーん...,Buzz-fwoosh... (electric buzzing fading)
きらーんきらーん...,Sparkle sparkle... (twinkling light)
ごー,Roar (wind or engine sound)
ぴゅぴゅ...,Pew pew... (light shooting sound)
ぴぴぴ...,Beep beep... (short beeping)
ぷぷぷ...,Pfft pfft... (suppressed laughter or blowing)
きゅきゅ...,Squeak squeak... (small squeaking)
びびび...,Bzzz bzzz... (vibrating or electric buzzing)
きゅきゅるる...,Squeal (high-pitched squealing)
ちょぴちょぴ...,drip drip
ぽぽぽ...,pop pop pop
ぽおぽおぽおぽお...,whoosh whoosh whoosh
ちょちょぴー...,drip drip drip
かーんかーん...,clang clang
ぴこーんこーん...,beep beep
たったったった,tap tap tap tap
たたたったたった...,tap tap tap tap
ぱぱぱっぱぱぱ...,pat pat pat pat
たたったたたった...,tap tap tap tap
たたたったたったたった...,tap tap tap tap tap
たったたた...,tap tap tap
たったたたった...,tap tap tap tap
かたかた...,clatter clatter
かちゃかちゃかちゃ...,click click click
たったたった...,tap tap tap tap
かたかたかたかた...,clatter clatter clatter
かちかちかちかち...,click click click click
ぎーぎーぎーぎー,creak creak creak creak
どかーん,boom!
ぼかーん,Boom
どーん,Bang
ばばーん,Ta-da!
どきゅーん,Thump
どがーん,Crash
どすーん,Thud
とんとん...,Tap tap...
たんたん...,Drumbeat...
かんかん...,Clang clang...
とんかん...,Clatter clatter...
かんとん...,Clink clank...
ぱんぱん...,Clap clap...
とんぱん...,Tap slap...
ぼんぼん...,Boom boom...
どんどん,Rapidly (sound of continuous banging)
ぱんかん...,Bang clang...
ぱんこん...,Bang clonk...
じりりりりん...,Ring ring ring...
とるるるるる...,Ringtone...
がちゃん,Clank
どばどば...,Gushing
ぴーぽぱーぽ...,Siren wail
ぷるるぷるる...,Ring ring
ぷるるるるぷるるるる...,Long ring
ぷー...,Whoosh
ぴーぱらりらーぽ...,Siren blare
ぱーぱらりらー...,Siren wail
ぱぱーぱらりら...,Siren blare
とるるるるとるるるる...,Trill trill
かーかー...,Caw caw
わーわー...,Wail wail
あーあー...,Crying
がーがー...,Snoring
ぷーん...,Buzz
ぶーん...,Drone
きゅじゅじゅ...,Sizzle
ひゅーひゅひゅ...,Whistle
ぎしっぎしっ...,Creak creak
ばきっばきっ...,Crack crack
かちかちかちかちどんとんだんだん,Clack clack bang bang step step
かさっかさっ...,Rustle rustle
かさっばんかさっ,Rustle bang rustle
ばっばっ...,Flap flap
ばばばっばば...,Rapid flap
ばばばっばばば...,Faster rapid flap
かちゃかちゃ...,Click click
ばばっばばば...,Rapid flap
ばっがちゃ...,Snap clatter
がちゃぎーぎーどす,Clack screech thud
かつかつ...,Tap tap
ぱぱ...,Pop pop
カタ,Click
タ,Tap
,(No entry)
タタタ,Tap tap tap
チャ,Ching
カチャ,Click
チャチャチャチャチャ,Chatter chatter chatter
カチャカチャカチャ,Click click click
トトト,Trot trot trot
ト,Tap
トチャ,Splash
タトト,Rat-a-tat
トトトトトト,Patter
トチャチャチャ,Splash splash splash
カチャチャチャチャ,Clatter clatter clatter clatter
タッタタッタ,Trot trot
タタ,Tap tap
タッタタ,Trot trot
カチャチャチャ,Clatter clatter clatter
カチャカチャカチャカチャカチャカチャ,Clatter clatter clatter clatter clatter clatter
チャチャ,Chatter
カチャチャチャチャチャチャ,Clatter clatter clatter clatter clatter clatter
チャチャチャ,Chatter chatter
カシャカシャ,Rustle rustle
カシャカシャカシャ,Rustle rustle rustle
カシャカシャカシャカシャ,Rustle rustle rustle rustle
ビュオー,Whoosh
ビュービュオビュオビュオ,Whoosh whoosh whoosh whoosh whoosh
ビュー,Whoosh
ゴォー,Whoosh
ビューグォグォ,Whoosh-gurgle
ビュービュオビュオ,Whistle-blow
ビューブォブォ,Whoosh-blow
ビューゴー,Whoosh
ビューズオズオ,Whoosh-sizzle
ビューシュォシュォ,Whoosh-shush
ビューブォ,Whoosh-blow
ビューカタグォンカタグォン,Whoosh-clank-clank
ビューガタングヲンヲンヲ,Whoosh-rattle-rattle
ビューウォー,Whoosh-roar
ビューグヲングゥー,Whoosh-gurgle
ビューガタン,Whoosh-clatter
コト,Clink
トントン,Tap tap
ゴトン,Clunk
カシャン,Crash
ビュオォォー,Whoooosh
ブオーンカシャン,Vroom-crash
ブオーン,Vroom
ブオーンガタングオー,Vroom clank roar
ブオォォー,Vroooom
ブオォォーバシャー,Vroooom splash
ブオーングゥー,Vroom grumble
ブオォォーン,Vroooom
ブオーンカシャングォー,Vroom click clang
ブオーントゥクオーン,Vroom thunk roar
ブオーンカシャカシャグオングオン,Vroom rustle grumble
ブオーンブアングオンオン,Vroom bang grumble
キュオーン,Squeeeeel
ビュオーンシャードン,Whoosh crash
ブオォォーンシャートン,Vroooom crash
ブオォォーンカタートン,Vroooom clatter
キュオーンカシュトーン,Squeeeeel shush thud
ブオォォーンシューン,Vroooom shush
ブオォーンシューカトン,Vrooom shush thud
キュオーンカターンシュ,Squeeeeel clatter shush
キュオーントーントーン,Squeeeeel toong toong
キュオートブオーン,Squeeeeel to vroom
ガタグオー,Clank clang roar
キュオーントーガシャン,Squeal crash
ピュオーン,Whoosh
キュオーグオン,Squeal roar
キュオーゴトングオーン,Squeal clatter roar
キュオードタン,Squeal thud
カタン,Clatter
トントントン,Tap tap tap tap
カタンタン,Clatter tap
ビュオォォーン,Whoooosh
ビュオードンシュー,Whoosh boom shoo
ブオートンシュー,Vroom thud shoo
ビュオートトゥーン,Whoosh toot
ドンドーン,Boom boom boom
ゴロロ,Rumble rumble
ザーゴー,Pouring roar
ザーゴロゴロゴー,Pouring rumble rumble roar
ビュオーヒュー,Whoosh whistle
ゴーゴロゴロ,Roar rumble rumble
ドンガラララ,Crash rattle rattle rattle
ドシャーン,Splash bang
ビュオーゴロゴロゴ,Whoosh rumble
シャラララララ,Tinkle tinkle tinkle
ピュヨヨシャララ,Whistle tinkle
ピャラララララシャララ,Flute tinkle
シャララリンリンリン,Tinkle ring ring ring
ピャラララララ,Flute flute flute
チャララララ,Strum strum strum
チャララリンリンリン,Strum ring ring ring
ピャラララララリラ,Flute trill
ピャラララ,Flute flute
ピョララ,Whistle trill
シャリリリンリンリン,Crisp ring ring ring
シュラララリンリンリン,Swish ring ring ring
シャラララリンリンリン,Tinkle ring ring ring
チュリリリリリ,Chirp chirp chirp
チリンチリンチリン,Ding ding ding
チリリリンリン,Ring ring ring
チリン,Ding
チュリンリリリン,Slide ring ring
シュリンリンリン,Swish ring ring
チャリンリリリン,Clink-ring-ring
ギュオ,Whoosh
シュロロロロ,Whirrrrr
ギュウゥギュオ,Squeal-whoosh
ブオオオオオ,Vrooooom
ぎゅるるるる,Gurgle
ガちゃん,Clank
ボー,Hoooonnnng
トン,Tap
ぎゅるるる,Gurgle
ギュウ,Squeeze
ピュフォ―,Pffft
きゅろろろろ,Whirrrrr
ぎゅろろろろ,Whirrrrr
ビュオビュオビュオ,Whoosh-whoosh-whoosh
ビー,Beep
ジャー,Splash
ヂヂヂヂ,Crackle
ギロ,Glare
ギ―,Screech
ギュロ,Whirring
ギ,Creak
ギュロー,Loud whirring
ウォンウォン,Howling
ギリりりりー,Grinding screech
ギュウォンウォン,Whirring howl
ビュウォンウォン,Whooshing howl
ビュオービー,Whizzing beep
ピュロロロロ,Trilling whistle
ポロロロロ,Soft trilling
ヒュロロロロ,Whistling wind
ピャラララン,Twinkling chime
ピュドーン,Whoosh bang
ビュドーン,Whoosh boom
ドビョン,Splash
ドゴーン,Boom crash
チュドーン,Bang crash
ドっゴーン,Loud boom
チロッチッチッチ,Chirp chirp chirp
チッチッチッチ,Tick tick tick
チチチチチ,Ticking
ゴゴゴゴ,Rumbling
ゴゴババ,Loud rumble
ババババ,Rapid gunfire
ふぃふぃ〜,Whistling
ヒュー,Whoosh
ゴー,Roar
シュー,Hiss
ブロロロ,Engine revving
ブルブルブル,Shivering
ひょうひょう,Light flutter
ふぁー,Yawn
パンパンパンパン,Clapping
パンパン,Clapping
パン,Pop
パーンパーン,Bang bang
ピーんピーん,Beep beep
ピキー,Squeak
ピピピーん,Beeping
ばカーン,Boom!
カーンカーン,Clang clang
ピピピーピピ,Beep beep beep beep
バタバタ,Flap flap
ゴーバタバタ,Loud flap flap
キーン,Ringing tone
ゴォーン,Roar
ファーン,Whistle
ビーンブーン,Buzzing hum
ぼーーー,Humming drone
ファキラリ,Sparkle flicker
キーキャン,Squeak yelp
ゴーンゴーン,Bong bong
キーンゴー,Ringing roar
ゴーゴゴ,Roar rumble
プァープァー,Puff puff
ピャキーン,Sharp clang
シャキーン,Slash
パキーン,Crack
バーンバーンバーン,Bang bang bang
バーン,Bang
バーンバーン,Bang bang
ピッピッピー,Beep beep beep
ピッピッピッピー,Beep beep beep beep
ピポッ,Beep
バキュン,Bang
バババババ,Rat-a-tat-tat
バキューン,Bang
バリバリ,Crunch crunch
サクサク,Crunchy
ピピピッ,Beep beep
ビヨヨヨ,Wobble wobble
がおー,Roar
ピッ,Beep
じゅわー,Sizzle
ピー,Beep
ジー,Buzz
ピーピーピー,Beep beep beep
ピロピロロロ,Whistle trill
ピーピッピ,Beep beep beep
ブィーン,Vroom
ヒューン,Whoosh
バチバチウィーン,Crackle-whirr
バチバチ,Crackle
バシューン,Wham
ティリティリ,Tinkle-tinkle
ばー,Boom
うぁーん,Waaaah
キラーん,Sparkle
きらんシャラン,Glitter-jingle
キラキラ,Sparkling
チーンチーンチーン,Ding ding ding
チーンチーンチーンチーン,Ding ding ding ding
チーンチーンチーンチーンチーン,Ding ding ding ding ding
チーンチーンチーンチーンチーンチーン,Ding ding ding ding ding ding
チーンチーンチーンチーンチーンチーンチーンチーン,Ding ding ding ding ding ding ding ding
チーンチーンチーンチーンチーンチーンチーンチーンチーン,Ding ding ding ding ding ding ding ding ding
コーンコーンコーンコーンコーン,Honk honk honk honk honk
コーン,Honk
コーンコーンコーン,Honk honk honk
コーンコーンコーンコーン,Honk honk honk honk
コーンコーンコーンコーンコーンコーンコーンコーンコーンコーン,Bong bong bong bong
ボボボボ,Vroom vroom
カッチャン,Clank
カチャン,Click
キラっ,Sparkle
キーンコーンカーンコン,School bell ringing
チリリリリリ,Ring ring ring ring
カチャカチャ,Clatter clatter
カッチカッチ,Tick-tock
カチッカチ,Click click
チャリチャリ,Jingle jingle
ブオー,Vroom
ブルル,Rumble
カタカタギーギー,Clatter creak
かっか,Flare up
カタカタ,Rattle
キッ,Snap
コー,Hoot
グオー,Roar
ドー,Boom
グーオー,Roar
ブオーグオー,Loud roar
ドーオオー,Deep roar
ホワー,Whoosh
ボワー,Glow
グワー,Growl
ボワワー,Blazing roar
クワワワ,Rattling
ブワワー,Roaring blast
クワワワン,Rattling roar
クオー,Call
ボオーン,Boom
カカカカボン,Clatter-bang
ガタガタボンボンカタカン,Rattle-bang-clank
カンカラカラカーボン,Clatter-rattle-bang
グオーン,Loud rumble
グアーン,Deep roar
ガーン,Shock
ディクティン,Click
デュシャデュシャデュシャ,Splash-splash-splash
ディシャーディシャーディシャー,Splash splash splash
ジシャージシャージシャー,Splash splash splash
ジャリージャリー,Crunch crunch
ビジャー,Splash
カタガースー,Clatter-rustle
ガタガタカサガサ,Rattle rustle
カタカタカタカタ,Clatter clatter
ピーンポーン,Ding dong
ガサガサカラコロ,Rustle clink
ガタガタキンキン,Rattle clang
ビチャビチャ,Squelch squelch
ギギギー,Creak creak
シャカシャカ,Rustle rustle
ギガラギガラ,Clatter clatter
ガラギー,Rattle creak
ドンドンドン,Bang bang bang
キュッキュッ,Squeak squeak
ザワザワザワ,Murmur murmur
ピピー,Beep beep
オーイ,Hey!
ビシビシ,Crackling
ウオー,Roar
シャシャシャ,Rustle rustle rustle
 ウワーキャー,Screaming cheers
ビリリリリ,Buzzzzzt
オーおー,Oh oh
ドンドンドコドコ,Boom boom boom boom
ドンキュキュ,Thump squeak
ワーワー,Loud noise
ウオーイ,Hey!
ザッザッザザー,Scrape scrape scrape
そーそーおーい,Hey hey hey
カンカンカーン,Clang clang clang
パンパンドンドン,Bang bang boom boom
カンカンカンカーン,Clang clang clang clang
キャーワー,Screams
イケイケおーい,Go go hey!
ザワザワ,Murmuring
いっらしゃいませーどーぞー,"Welcome, please come in"
たんたん,Tap tap
ウエーい,Yay
ポンざっ,Pop-snap
ナイスはーい,"Nice, yes!"
キャーウワー,Screaming
ウエーいよいしょー,"Yay, heave-ho"
パンポン,Pop-pop
はーい,Yes!
パキン,Crack
ミンミンミン,Cicada chirping
カットバセー,Cut it!
カンコン,Clang-clang
ストライーク,Strike!
ゴシゴシゴシ,Scrub scrub scrub
カカカサササー,Rustle rustle
ポワンブクブク,Bubble pop
カサカサギシギシ,Rustle creak
ピシーピシー,Snap snap
カサカサビリー,Rustle squeak
ザザザザー,Rushing sound
ピシ,Snap
サーボン,Soft pop
カサコサ,Rustling
ボッボワー,Bubbling
ビシャビシャ,Splashing
ジャゴジャゴ,Rattling
ギッギッギッギ,Creaking
サボン,Soft pop
カサカサガサガサ,Crunchy rustling
サーキッ,Whirring
ゴージジジー,Buzzing
カリカリボリボリ,Crunching
ジョボジョボー,Gushing
ピシカン,Snap
ジョボジョボシュワー,Gushing fizz
ジリリリ,Ringing
バッコン,Bang
ジョロロー,Pouring
カン,Clang
クワッ,Sharp cry
ジャラジャリー,Clinking
ズルルー,Slurp
ごっくん,Gulp
カサカサカサ,Rustle rustle
カランカラン,Clink clank
キーゴー,Screech
ブルルルー,Vroom
ジリリー,Ring ring
ブルルルーキーゴー,Vroom screech
ガタンゴトン,Clatter clatter
キー,Squeak
ギー,Creak
ガガガー,Rattle rattle
ゴーガタンゴトン,Roar clatter
ゴーゴンゴン,Thud thud
